scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,t_detection,training_time_s,method
9,True,6000,0.03,large,dificil,25000.0,2,True,5403.06298828125,0.59693701171875,0.025499999523162842,15.00000158945719,,192.0222511291504,pinn
9,True,6000,0.03,large,dificil,25000.0,3,True,5401.74462890625,0.59825537109375,0.025499999523162842,15.00000158945719,,201.5360095500946,pinn
9,True,6000,0.03,large,muy_dificil,50000.0,2,True,5402.6328125,0.5973671875,0.025499999523162842,15.00000158945719,,187.9217836856842,pinn
9,True,6000,0.03,large,muy_dificil,50000.0,3,True,5401.15966796875,0.59884033203125,0.025499999523162842,15.00000158945719,,204.58010387420654,pinn
10,True,8000,0.005,small,trivial,500.0,2,True,5471.73876953125,2.52826123046875,0.025499999523162842,409.99999046325684,,188.91507363319397,pinn
10,True,8000,0.005,small,trivial,500.0,3,True,5466.87548828125,2.53312451171875,0.025499999523162842,409.99999046325684,,205.33495140075684,pinn
10,True,8000,0.005,small,facil,2000.0,2,True,5471.72216796875,2.52827783203125,0.025499999523162842,409.99999046325684,,192.59974718093872,pinn
10,True,8000,0.005,small,facil,2000.0,3,True,5466.833984375,2.533166015625,0.025499999523162842,409.99999046325684,,196.17281436920166,pinn
10,True,8000,0.005,small,moderado,8000.0,2,True,5471.64697265625,2.52835302734375,0.025499999523162842,409.99999046325684,,194.79679012298584,pinn
10,True,8000,0.005,small,moderado,8000.0,3,True,5466.744140625,2.533255859375,0.025499999523162842,409.99999046325684,,207.0465052127838,pinn
10,True,8000,0.005,small,dificil,25000.0,2,True,5471.4306640625,2.5285693359375,0.025499999523162842,409.99999046325684,,193.49780821800232,pinn
10,True,8000,0.005,small,dificil,25000.0,3,True,5466.47412109375,2.53352587890625,0.025499999523162842,409.99999046325684,,207.2107331752777,pinn
10,True,8000,0.005,small,muy_dificil,50000.0,2,True,5471.07958984375,2.52892041015625,0.025499999523162842,409.99999046325684,,192.16466188430786,pinn
10,True,8000,0.005,small,muy_dificil,50000.0,3,True,5466.095703125,2.533904296875,0.025499999523162842,409.99999046325684,,208.23133063316345,pinn
11,True,8000,0.015,medium,trivial,500.0,2,True,5447.3466796875,2.5526533203125,0.025499999523162842,69.99999682108562,,189.66802859306335,pinn
11,True,8000,0.015,medium,trivial,500.0,3,True,5444.13623046875,2.55586376953125,0.025499999523162842,69.99999682108562,,205.38690519332886,pinn
11,True,8000,0.015,medium,facil,2000.0,2,True,5447.32763671875,2.55267236328125,0.025499999523162842,69.99999682108562,,192.0795955657959,pinn
11,True,8000,0.015,medium,facil,2000.0,3,True,5444.130859375,2.555869140625,0.025499999523162842,69.99999682108562,,200.42291951179504,pinn
11,True,8000,0.015,medium,moderado,8000.0,2,True,5447.26953125,2.55273046875,0.025499999523162842,69.99999682108562,,187.97353601455688,pinn
11,True,8000,0.015,medium,moderado,8000.0,3,True,5444.0205078125,2.5559794921875,0.025499999523162842,69.99999682108562,,200.02923798561096,pinn
11,True,8000,0.015,medium,dificil,25000.0,2,True,5447.0283203125,2.5529716796875,0.025499999523162842,69.99999682108562,,192.8898961544037,pinn
11,True,8000,0.015,medium,dificil,25000.0,3,True,5443.77099609375,2.55622900390625,0.025499999523162842,69.99999682108562,,212.4696807861328,pinn
11,True,8000,0.015,medium,muy_dificil,50000.0,2,True,5446.70654296875,2.55329345703125,0.025499999523162842,69.99999682108562,,188.29149317741394,pinn
11,True,8000,0.015,medium,muy_dificil,50000.0,3,True,5443.333984375,2.556666015625,0.025499999523162842,69.99999682108562,,210.76112866401672,pinn
12,True,8000,0.03,large,trivial,500.0,2,True,5407.3330078125,2.5926669921875,0.025499999523162842,15.00000158945719,,188.3428041934967,pinn
12,True,8000,0.03,large,trivial,500.0,3,True,5406.4501953125,2.5935498046875,0.025499999523162842,15.00000158945719,,208.07554483413696,pinn
12,True,8000,0.03,large,facil,2000.0,2,True,5407.3046875,2.5926953125,0.025499999523162842,15.00000158945719,,193.32694172859192,pinn
12,True,8000,0.03,large,facil,2000.0,3,True,5406.4541015625,2.5935458984375,0.025499999523162842,15.00000158945719,,217.70443558692932,pinn
12,True,8000,0.03,large,moderado,8000.0,2,True,5407.44091796875,2.59255908203125,0.025499999523162842,15.00000158945719,,185.4192135334015,pinn
12,True,8000,0.03,large,moderado,8000.0,3,True,5406.2939453125,2.5937060546875,0.025499999523162842,15.00000158945719,,193.51449608802795,pinn
12,True,8000,0.03,large,dificil,25000.0,2,True,5407.0166015625,2.5929833984375,0.025499999523162842,15.00000158945719,,185.28398537635803,pinn
12,True,8000,0.03,large,dificil,25000.0,3,True,5405.91064453125,2.59408935546875,0.025499999523162842,15.00000158945719,,202.0649540424347,pinn
12,True,8000,0.03,large,muy_dificil,50000.0,2,True,5406.68798828125,2.59331201171875,0.025499999523162842,15.00000158945719,,190.41931200027466,pinn
12,True,8000,0.03,large,muy_dificil,50000.0,3,True,5405.33056640625,2.59466943359375,0.025499999523162842,15.00000158945719,,213.68697500228882,pinn
0,False,0.0,0.0,none,trivial,500.0,2,True,5550.91650390625,,0.025499999523162842,,,211.08318185806274,pinn
0,False,0.0,0.0,none,trivial,500.0,3,True,5478.16015625,,0.025499999523162842,,,224.9063811302185,pinn
0,False,0.0,0.0,none,facil,2000.0,2,True,5484.34375,,0.025499999523162842,,,206.93638467788696,pinn
0,False,0.0,0.0,none,facil,2000.0,3,True,5478.1533203125,,0.025499999523162842,,,214.7473704814911,pinn
0,False,0.0,0.0,none,moderado,8000.0,2,True,5484.26708984375,,0.025499999523162842,,,206.02896237373352,pinn
0,False,0.0,0.0,none,moderado,8000.0,3,True,5478.056640625,,0.025499999523162842,,,203.11075973510742,pinn
0,False,0.0,0.0,none,dificil,25000.0,2,True,5484.03173828125,,0.025499999523162842,,,192.4015793800354,pinn
0,False,0.0,0.0,none,dificil,25000.0,3,True,5477.77099609375,,0.025499999523162842,,,206.33016729354858,pinn
0,False,0.0,0.0,none,muy_dificil,50000.0,2,True,5483.65869140625,,0.025499999523162842,,,177.10503578186035,pinn
0,False,0.0,0.0,none,muy_dificil,50000.0,3,True,5477.42822265625,,0.025499999523162842,,,197.71010375022888,pinn
