scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method,inference_time_ms,has_leak_prob,training_time_s,noise_std_db
10,True,8000.0,0.005,small,moderado,8000.0,3.0,True,50.16666666666666,6299.999999999998,1.7000000000000015,0.0049789508356814,0.42098328637016,mass_balance_npw,,,,24.082399653118497
11,True,8000.0,0.015,medium,moderado,8000.0,3.0,True,50.0,6374.999999999998,1.6250000000000018,0.0149314160159111,0.4572265605920038,mass_balance_npw,,,,24.082399653118497
12,True,8000.0,0.03,large,moderado,8000.0,3.0,True,50.0,6399.999999999999,1.600000000000001,0.0298664976504861,0.4450078317127376,mass_balance_npw,,,,24.082399653118497
0,False,,0.0,none,dificil,25000.0,3.0,True,54.08333333333333,1000.0,,3.573526052612619e-05,,mass_balance_npw,,,,33.979400086720375
1,True,2000.0,0.005,small,dificil,25000.0,3.0,True,50.5,3375.000000000001,1.3750000000000009,0.005003843685175,0.0768737035007106,mass_balance_npw,,,,33.979400086720375
2,True,2000.0,0.015,medium,dificil,25000.0,3.0,True,50.16666666666666,3425.0,1.425,0.0149459207676263,0.3605282158243804,mass_balance_npw,,,,33.979400086720375
3,True,2000.0,0.03,large,dificil,25000.0,3.0,True,50.08333333333333,3450.000000000001,1.4500000000000008,0.0298623049575483,0.4589834748388102,mass_balance_npw,,,,33.979400086720375
4,True,4000.0,0.005,small,dificil,25000.0,3.0,True,52.41666666666666,4000.000000000002,1.8189894035458565e-15,0.0049881109459354,0.2377810812908762,mass_balance_npw,,,,33.979400086720375
5,True,4000.0,0.015,medium,dificil,25000.0,3.0,True,52.0,4424.999999999998,0.4249999999999981,0.014899033870659,0.6731075289394378,mass_balance_npw,,,,33.979400086720375
6,True,4000.0,0.03,large,dificil,25000.0,3.0,True,51.75,4450.0,0.45,0.0297686444534678,0.7711851551071963,mass_balance_npw,,,,33.979400086720375
7,True,6000.0,0.005,small,dificil,25000.0,3.0,True,52.41666666666666,5574.999999999999,0.4250000000000009,0.0049641869243266,0.7162615134661231,mass_balance_npw,,,,33.979400086720375
8,True,6000.0,0.015,medium,dificil,25000.0,3.0,True,52.0,5525.0,0.475,0.0148437808053902,1.0414612973982478,mass_balance_npw,,,,33.979400086720375
9,True,6000.0,0.03,large,dificil,25000.0,3.0,True,51.75,5499.999999999999,0.5000000000000009,0.0296870589547704,1.043136817431671,mass_balance_npw,,,,33.979400086720375
10,True,8000.0,0.005,small,dificil,25000.0,3.0,True,50.5,6100.0,1.9,0.004994574982641,0.108500347179713,mass_balance_npw,,,,33.979400086720375
11,True,8000.0,0.015,medium,dificil,25000.0,3.0,True,50.16666666666666,6299.999999999998,1.7000000000000015,0.0149435996860531,0.3760020929787176,mass_balance_npw,,,,33.979400086720375
12,True,8000.0,0.03,large,dificil,25000.0,3.0,True,50.08333333333333,6350.0,1.65,0.0298791895196902,0.4027016010326364,mass_balance_npw,,,,33.979400086720375
0,False,,0.0,none,muy_dificil,50000.0,3.0,True,54.08333333333333,1000.0,,7.147052105225208e-05,,mass_balance_npw,,,,40.0
1,True,2000.0,0.005,small,muy_dificil,50000.0,3.0,True,51.33333333333333,1000.0,1.0,0.0050358518517196,0.7170370343929228,mass_balance_npw,,,,40.0
2,True,2000.0,0.015,medium,muy_dificil,50000.0,3.0,True,50.25,3375.000000000001,1.3750000000000009,0.0149801397919426,0.1324013870490289,mass_balance_npw,,,,40.0
3,True,2000.0,0.03,large,muy_dificil,50000.0,3.0,True,50.16666666666666,3425.0,1.425,0.029896084481179,0.3463850627366076,mass_balance_npw,,,,40.0
4,True,4000.0,0.005,small,muy_dificil,50000.0,3.0,True,52.75,4000.000000000002,1.3642420526593924e-15,0.0050230163138452,0.4603262769047045,mass_balance_npw,,,,40.0
5,True,4000.0,0.015,medium,muy_dificil,50000.0,3.0,True,52.25,4450.000000000002,0.4500000000000018,0.0149340413673288,0.4397242178077673,mass_balance_npw,,,,40.0
6,True,4000.0,0.03,large,muy_dificil,50000.0,3.0,True,52.0,4424.999999999998,0.4249999999999981,0.0298082641616046,0.6391194613178732,mass_balance_npw,,,,40.0
7,True,6000.0,0.005,small,muy_dificil,50000.0,3.0,True,52.75,5049.999999999999,0.950000000000001,0.0049967704380354,0.0645912392915719,mass_balance_npw,,,,40.0
8,True,6000.0,0.015,medium,muy_dificil,50000.0,3.0,True,52.25,5500.0,0.5,0.0148696969596456,0.8686869356955748,mass_balance_npw,,,,40.0
